mode,run_id,num_users,user_id,compression_level,fps,size_mean_kb,size_std_kb,total_frames,on_time_frames,avg_delay_ms,delay_reliability,user_satisfied,avg_mse,avg_cqi
uncompressed,1,2,0,80,60,65.0,34.8,1200,867,4.59536,0.7225,0,302.04,14.6598
uncompressed,1,2,1,80,90,95.0,50.9,1800,554,5.6293,0.307778,0,699.317,14.2924
ml-dynamic,10,2,0,50,90,120.0,64.3,1800,973,4.43715,0.540556,0,484.435,14.6913
ml-dynamic,10,2,1,70,120,45.0,24.1,2400,764,5.69516,0.31833300000000003,0,702.384,14.1375
ml-dynamic,11,3,0,65,90,65.0,34.8,1800,964,4.2927,0.535556,0,492.942,14.6238
ml-dynamic,11,3,1,55,90,65.0,34.8,1800,783,6.31647,0.435,0,596.48,14.0038
ml-dynamic,11,3,2,60,60,95.0,50.9,1200,676,6.3092,0.563333,0,460.678,13.9935
ml-dynamic,12,4,0,30,72,120.0,64.3,1440,1023,3.74618,0.7104170000000001,0,356.957,14.9731
ml-dynamic,12,4,1,45,60,65.0,34.8,1200,722,11.0542,0.601667,0,459.094,13.8715
ml-dynamic,12,4,2,45,90,65.0,34.8,1800,827,5.81365,0.459444,0,586.588,13.8566
ml-dynamic,12,4,3,40,90,80.0,42.9,1800,944,4.82794,0.524444,0,526.495,14.0522
ml-dynamic,14,6,0,25,90,95.0,50.9,1800,1042,3.21597,0.578889,0,506.998,14.6337
ml-dynamic,14,6,1,20,120,65.0,34.8,2400,882,3.68238,0.3675,0,732.751,13.6839
ml-dynamic,14,6,2,15,72,45.0,24.1,1440,967,2.66827,0.671528,0,674.626,13.9438
ml-dynamic,14,6,3,35,72,45.0,24.1,1440,872,7.55732,0.605556,0,520.578,14.1207
ml-dynamic,14,6,4,10,60,95.0,50.9,1200,931,2.80721,0.775833,0,489.613,14.1346
ml-dynamic,14,6,5,10,60,95.0,50.9,1200,901,3.29295,0.750833,0,505.96,13.7078
uncompressed,3,4,0,80,90,45.0,24.1,1800,339,5.64568,0.188333,0,821.114,14.9287
uncompressed,3,4,1,80,120,80.0,42.9,2400,0,77.1065,0.0,0,1000.0,13.9616
uncompressed,3,4,2,80,120,80.0,42.9,2400,0,67.8159,0.0,0,1000.0,14.0233
uncompressed,3,4,3,80,90,45.0,24.1,1800,282,7.59727,0.156667,0,851.131,14.0342
ml-dynamic,13,5,0,65,72,45.0,24.1,1440,1016,3.68831,0.705556,0,348.59,14.6019
ml-dynamic,13,5,1,10,90,120.0,64.3,1800,941,2.88034,0.522778,0,618.987,13.9017
ml-dynamic,13,5,2,25,72,65.0,34.8,1440,853,4.95796,0.592361,0,535.942,13.8488
ml-dynamic,13,5,3,60,120,65.0,34.8,2400,979,4.06672,0.407917,0,617.439,14.7304
ml-dynamic,13,5,4,25,60,80.0,42.9,1200,556,18.3649,0.463333,0,619.145,13.641
uncompressed,2,3,0,80,120,95.0,50.9,2400,469,5.43631,0.19541699999999998,0,809.115,14.9524
uncompressed,2,3,1,80,60,65.0,34.8,1200,471,10.6552,0.3925,0,620.713,13.993
uncompressed,2,3,2,80,72,80.0,42.9,1440,132,9.6797,0.0916667,0,910.672,13.9529
ml-dynamic,15,7,0,35,120,45.0,24.1,2400,1063,2.53771,0.442917,0,649.336,14.7753
ml-dynamic,15,7,1,5,90,80.0,42.9,1800,999,2.54096,0.555,0,809.149,14.2909
ml-dynamic,15,7,2,20,60,80.0,42.9,1200,836,7.2529,0.696667,0,457.721,13.9938
