mode,run_id,num_users,user_id,compression_level,fps,size_mean_kb,size_std_kb,total_frames,on_time_frames,avg_delay_ms,delay_reliability,user_satisfied,avg_mse,avg_cqi
uncompressed,1,2,0,80,60,65.0,34.8,1200,867,4.59536,0.7225,0,302.04,14.6598
uncompressed,1,2,1,80,90,95.0,50.9,1800,554,5.6293,0.307778,0,699.317,14.2924
ml-dynamic,10,2,0,35,90,120.0,64.3,1800,934,3.92124,0.518889,0,541.533,14.7554
ml-dynamic,10,2,1,75,120,45.0,24.1,2400,910,4.20782,0.379167,0,728.247,14.1614
ml-dynamic,11,3,0,35,90,65.0,34.8,1800,1038,3.13099,0.576667,0,535.766,14.8203
ml-dynamic,11,3,1,20,90,65.0,34.8,1800,866,5.67353,0.481111,0,611.696,14.001
ml-dynamic,11,3,2,35,60,95.0,50.9,1200,769,6.16363,0.640833,0,452.247,13.9422
ml-dynamic,12,4,0,30,72,120.0,64.3,1440,801,4.38847,0.55625,0,511.502,14.9238
ml-dynamic,12,4,1,65,60,65.0,34.8,1200,730,10.75,0.608333,0,525.65,13.9135
ml-dynamic,12,4,2,45,90,65.0,34.8,1800,809,5.54732,0.449444,0,648.041,13.9389
ml-dynamic,12,4,3,40,90,80.0,42.9,1800,881,4.65094,0.489444,0,595.208,14.0287
uncompressed,3,4,0,80,90,45.0,24.1,1800,339,5.64568,0.188333,0,821.114,14.9287
uncompressed,3,4,1,80,120,80.0,42.9,2400,0,77.1065,0.0,0,1000.0,13.9616
uncompressed,3,4,2,80,120,80.0,42.9,2400,0,67.8159,0.0,0,1000.0,14.0233
uncompressed,3,4,3,80,90,45.0,24.1,1800,282,7.59727,0.156667,0,851.131,14.0342
uncompressed,2,3,0,80,120,95.0,50.9,2400,469,5.43631,0.19541699999999998,0,809.115,14.9524
uncompressed,2,3,1,80,60,65.0,34.8,1200,471,10.6552,0.3925,0,620.713,13.993
uncompressed,2,3,2,80,72,80.0,42.9,1440,132,9.6797,0.0916667,0,910.672,13.9529
ml-dynamic,14,6,0,55,90,95.0,50.9,1800,747,4.64458,0.415,0,652.29,14.7624
ml-dynamic,14,6,1,20,120,65.0,34.8,2400,700,5.56365,0.291667,0,773.914,13.8641
ml-dynamic,14,6,2,45,72,45.0,24.1,1440,820,7.75113,0.5694440000000001,0,611.306,14.0184
ml-dynamic,14,6,3,75,72,45.0,24.1,1440,885,5.71221,0.614583,0,574.391,14.1824
ml-dynamic,14,6,4,35,60,95.0,50.9,1200,715,5.20415,0.5958330000000001,0,505.355,14.0992
ml-dynamic,14,6,5,10,60,95.0,50.9,1200,664,6.80965,0.553333,0,532.586,14.0024
uncompressed,4,5,0,80,60,120.0,64.3,1200,37,8.85882,0.0308333,0,969.741,14.4919
uncompressed,4,5,1,80,120,120.0,64.3,2400,0,63.7461,0.0,0,1000.0,13.8396
uncompressed,4,5,2,80,60,45.0,24.1,1200,478,7.21366,0.398333,0,621.779,13.8788
uncompressed,4,5,3,80,72,45.0,24.1,1440,506,5.51534,0.351389,0,665.705,14.5912
uncompressed,4,5,4,80,72,45.0,24.1,1440,360,10.4013,0.25,0,762.376,13.8743
uncompressed,5,6,0,80,90,120.0,64.3,1800,0,58.99,0.0,0,1000.0,14.5867
uncompressed,5,6,1,80,60,95.0,50.9,1200,174,64.0479,0.145,0,858.694,13.9425
uncompressed,5,6,2,80,120,95.0,50.9,2400,0,100.666,0.0,0,1000.0,13.9494
